time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
8.077952,-0.0003,0.0149,0.0401,0.043
8.096211,-0.0054,-0.0086,0.0401,0.041
8.116889,-0.0201,-0.0086,0.0449,0.050
8.135676,-0.0156,-0.0040,0.0257,0.030
8.155943,-0.0158,0.0096,0.0257,0.032
8.177843,-0.0013,0.0007,0.0497,0.050
8.198229,-0.0254,-0.0089,0.0497,0.057
8.217610,-0.0206,0.0096,0.0305,0.038
8.237964,-0.0110,-0.0090,0.0545,0.056
8.258512,-0.0063,-0.0138,0.0497,0.052
8.278253,-0.0252,-0.0041,0.0353,0.044
8.297397,-0.0250,0.0006,0.0305,0.039
8.314789,-0.0156,-0.0091,0.0114,0.021
8.336282,0.0037,0.0051,0.0401,0.041
8.353916,-0.0252,-0.0093,0.0593,0.065
8.377330,-0.0108,-0.0094,0.0545,0.056
8.393532,-0.0155,0.0093,0.0401,0.044
8.417542,-0.0156,0.0002,0.0257,0.030
8.433578,-0.0204,-0.0095,0.0449,0.050
8.457793,-0.0059,-0.0049,0.0449,0.046
8.473597,-0.0108,0.0047,0.0305,0.033
8.495035,-0.0061,0.0047,0.0497,0.050
8.514550,-0.0165,-0.0050,0.0497,0.053
8.534912,-0.0162,-0.0002,0.0401,0.043
8.553715,-0.0160,0.0134,0.0353,0.041
8.576754,-0.0016,-0.0002,0.0257,0.026
8.593783,-0.0018,-0.0097,0.0497,0.051
8.615248,-0.0022,-0.0048,0.0401,0.040
8.633420,-0.0069,-0.0095,0.0257,0.028
8.655737,-0.0262,0.0139,0.0353,0.046
8.672113,-0.0216,-0.0093,0.0401,0.047
8.695523,-0.0219,0.0002,0.0257,0.034
8.710452,-0.0266,0.0097,0.0449,0.053
8.736086,-0.0121,-0.0096,0.0353,0.039
8.750307,-0.0119,-0.0047,0.0209,0.025
8.775341,-0.0023,0.0001,0.0353,0.035
8.790063,0.0072,-0.0049,0.0209,0.023
8.814244,-0.0263,-0.0096,0.0449,0.053
8.829271,-0.0217,0.0047,0.0353,0.042
8.853992,-0.0119,0.0049,0.0353,0.038
8.869024,-0.0261,-0.0046,0.0449,0.052
8.891079,0.0026,0.0002,0.0497,0.050
8.908482,-0.0214,-0.0093,0.0257,0.035
8.932369,-0.0215,-0.0043,0.0210,0.030
8.948818,-0.0025,0.0100,0.0401,0.041
8.973315,-0.0027,-0.0091,0.0545,0.055
8.988299,-0.0167,-0.0044,0.0497,0.053
9.013346,-0.0023,0.0004,0.0497,0.050
9.029834,-0.0021,0.0099,0.0449,0.046
9.052657,-0.0211,0.0050,0.0401,0.046
9.066869,-0.0117,0.0099,0.0401,0.043
9.091384,0.0022,-0.0043,0.0401,0.040
9.107329,-0.0120,0.0004,0.0449,0.046
9.131679,-0.0168,0.0003,0.0497,0.052
9.147373,-0.0121,-0.0045,0.0305,0.033
9.171964,-0.0073,-0.0092,0.0353,0.037
9.187264,-0.0119,-0.0092,0.0353,0.038
9.207099,-0.0167,0.0100,0.0257,0.032
9.227121,-0.0168,0.0003,0.0353,0.039
9.246908,-0.0073,0.0004,0.0353,0.036
9.267419,-0.0074,-0.0092,0.0545,0.056
9.285385,-0.0219,-0.0091,0.0593,0.064
